part_name,category,relative_path,status,geometry_hash,near_duplicate_key,duplicate_group,near_duplicate_group,size_x_mm,size_y_mm,size_z_mm,volume_mm3,notes
coupon_petg_foot_socket,printable/coupons_petg,exports/mk0.7.4/printable/coupons_petg/coupon_petg_foot_socket.stl,ok,a222a2c7f68a0b246ff2bad724295dfb1624988f11ad1dc822f0acba6dd4fbd5,"(9.0, 58.0, 58.0, 13128.0)",,,58.000,58.000,9.000,13127.612,
coupon_rail_end_mount_fit,printable/coupons_petg,exports/mk0.7.4/printable/coupons_petg/coupon_rail_end_mount_fit.stl,ok,bcfb74a3d21204bac737ba6e8d11e3ac8999fb3c8b7a8071f3cae328b57af481,"(26.0, 49.0, 50.0, 10233.0)",,,50.000,26.000,49.000,10232.637,
coupon_side_panel_mount,printable/coupons_petg,exports/mk0.7.4/printable/coupons_petg/coupon_side_panel_mount.stl,ok,7d1f7246b9e354b44ba0a2980365a1f303af1ef0a29b5d2aaf50b093f6bcf4c3,"(12.0, 46.0, 88.0, 14022.0)",,,88.000,12.000,46.000,14021.866,
coupon_split_joint_tab_socket,printable/coupons_petg,exports/mk0.7.4/printable/coupons_petg/coupon_split_joint_tab_socket.stl,ok,bc0b5f33f469b086f7eb8565634e6703ff9b73915bcbc7a24b657d3288602f91,"(23.400000000000002, 28.0, 104.0, 48577.0)",,,104.000,23.400,28.000,48576.570,
coupon_tray_ledge_stack,printable/coupons_petg,exports/mk0.7.4/printable/coupons_petg/coupon_tray_ledge_stack.stl,ok,2059a154ba76bf73f89508ed320c63cc0bec4240b84dce326b56e54106e50eaa,"(19.0, 24.0, 58.0, 6591.0)",,,58.000,24.000,19.000,6590.597,
coupon_tpu_foot,printable/coupons_tpu,exports/mk0.7.4/printable/coupons_tpu/coupon_tpu_foot.stl,ok,a13d951ef986039ab62f5d66ad084021dcf522eabc29e3ed2752f3f49da92e38,"(32.0, 34.0, 34.0, 28073.0)",exact_001,near_001,34.000,34.000,32.000,28072.772,duplicate_group=exact_001; near_duplicate_group=near_001
bottom_fan_cartridge,printable/plastic,exports/mk0.7.4/printable/plastic/bottom_fan_cartridge.stl,ok,f014bc48e7b08cf8f11646579971f27ab4b062cfc9b0c76470f614d8b78cf2d5,"(9.0, 142.0, 150.0, 88578.0)",,,142.000,150.000,9.000,88577.861,
bottom_fan_grille,printable/plastic,exports/mk0.7.4/printable/plastic/bottom_fan_grille.stl,ok,5b0c9f517abab1721e875b824b31843a62c4b85730ffbf68db7460942d4ab849,"(7.0, 190.0, 190.0, 111520.0)",,,190.000,190.000,7.000,111520.276,
bottom_filter_frame,printable/plastic,exports/mk0.7.4/printable/plastic/bottom_filter_frame.stl,ok,ac20d5bb5343a2f20aec871e00a26b7e6b8a3173ae38a8df69875acb9c5474ed,"(3.0, 138.0, 138.0, 27603.0)",,,138.000,138.000,3.000,27603.450,
bottom_filter_retainer,printable/plastic,exports/mk0.7.4/printable/plastic/bottom_filter_retainer.stl,ok,ba0287275fd19e6aed919c1103fd5a017dd16c3fcc8910bfdedea75f70c64823,"(4.0, 144.0, 144.0, 18432.0)",,,144.000,144.000,4.000,18432.000,
bottom_structural_frame,printable/plastic,exports/mk0.7.4/printable/plastic/bottom_structural_frame.stl,ok,dcb364828edf3e5fbea6ecb35fd07d256eb95cd6dac50693fe055e4d535958cf,"(13.0, 190.0, 190.0, 84439.0)",,near_002,190.000,190.000,13.000,84439.392,near_duplicate_group=near_002
central_bottom_fan_frame,printable/plastic,exports/mk0.7.4/printable/plastic/central_bottom_fan_frame.stl,ok,55a935754d97b7da17bf8f18230c2c78cca7a1f2bf34e3b1f908b0b65e443196,"(16.0, 190.0, 190.0, 257031.0)",,,190.000,190.000,16.000,257031.420,
corner_block,printable/plastic,exports/mk0.7.4/printable/plastic/corner_block.stl,ok,77c565e5c11da2719702ad4a8ff4805810b86f579ab8ce4eeba23de8e857b210,"(24.0, 24.0, 28.0, 14990.0)",,,24.000,24.000,28.000,14990.402,
external_ssd_bay,printable/plastic,exports/mk0.7.4/printable/plastic/external_ssd_bay.stl,ok,641c6318c9e380820b76d1740144ace7125d086f9bfadcde456bd634280a69e3,"(32.0, 172.0, 178.70000000000002, 126166.0)",,,172.000,178.700,32.000,126165.610,
foot_socket,printable/plastic,exports/mk0.7.4/printable/plastic/foot_socket.stl,ok,a9c3ec3ebf32f282a3f7fecee4ba4229b9229d3787f0d4e814e0bc8f17062ce6,"(6.0, 42.0, 42.0, 3036.0)",,,42.000,42.000,6.000,3035.612,
front_stability_wing,printable/plastic,exports/mk0.7.4/printable/plastic/front_stability_wing.stl,ok,0508d4fcaf71504c1364f932900b3a04c8868b8a22ce9f3d2cd01ff55ec7cba3,"(10.0, 47.0, 250.0, 116957.0)",exact_002,near_003,250.000,47.000,10.000,116957.170,duplicate_group=exact_002; near_duplicate_group=near_003
left_foot_extension,printable/plastic,exports/mk0.7.4/printable/plastic/left_foot_extension.stl,ok,0090d44d55958e14bdf3a95227ccac1d37df3dd1fddf80bc2e4f1ae368fd7938,"(10.0, 42.0, 190.0, 79257.0)",exact_003,near_004,42.000,190.000,10.000,79257.170,duplicate_group=exact_003; near_duplicate_group=near_004
left_side_panel_lower,printable/plastic,exports/mk0.7.4/printable/plastic/left_side_panel_lower.stl,ok,3f32d780568289217226978bb3e2fb8122679ec0b6bfdadf418ee2a597f1373e,"(13.0, 100.9, 176.0, 88794.0)",exact_004,near_005,176.000,13.000,100.900,88794.171,duplicate_group=exact_004; near_duplicate_group=near_005
left_side_panel_middle,printable/plastic,exports/mk0.7.4/printable/plastic/left_side_panel_middle.stl,ok,8997f442c8a50dfc075a751ded5310a12308e0de6b948165ddd2c0a1ebac0806,"(5.2, 100.9, 176.0, 63144.0)",exact_005,near_006,176.000,5.200,100.900,63143.834,duplicate_group=exact_005; near_duplicate_group=near_006
left_side_panel_upper,printable/plastic,exports/mk0.7.4/printable/plastic/left_side_panel_upper.stl,ok,1d09e99665ce96634741419325a08548eb6166cb3936ddba3c44fa7cda86846b,"(13.0, 100.9, 176.0, 93621.0)",exact_006,near_007,176.000,13.000,100.900,93620.808,duplicate_group=exact_006; near_duplicate_group=near_007
m5_threaded_rod_cap,printable/plastic,exports/mk0.7.4/printable/plastic/m5_threaded_rod_cap.stl,ok,bf572a8db4864f67a6c966ba31682b6486836b2811674673e772d90986db3164,"(8.0, 12.0, 12.0, 707.0)",,,12.000,12.000,8.000,707.078,
mikrotik_tray,printable/plastic,exports/mk0.7.4/printable/plastic/mikrotik_tray.stl,ok,f946bb3f3d2bc7c7a4e1b1ca68de5d069793b98b0e295d4639d3e19c5f4549ba,"(32.0, 172.0, 178.70000000000002, 137544.0)",,,172.000,178.700,32.000,137544.175,
mini_pc_airflow_duct,printable/plastic,exports/mk0.7.4/printable/plastic/mini_pc_airflow_duct.stl,ok,e60373ad33d485d12c8d9acd8f671d25d4eb0fcc1e6b3fe02cd86d3638d586c1,"(62.0, 88.0, 134.0, 64252.0)",,,88.000,134.000,62.000,64252.160,
mini_pc_tray,printable/plastic,exports/mk0.7.4/printable/plastic/mini_pc_tray.stl,ok,28fe122965f9755afc257496e000215df71ac8063710751057fffd78a7b7acf2,"(32.0, 172.0, 178.70000000000002, 187453.0)",,,172.000,178.700,32.000,187452.501,
mini_pc_tray_stop,printable/plastic,exports/mk0.7.4/printable/plastic/mini_pc_tray_stop.stl,ok,c4691f008e393e438f029f7a376b151d9514df8207a65f75b1e5212b2b343c1d,"(6.0, 18.0, 22.0, 1162.0)",,,18.000,6.000,22.000,1162.157,
power_bus_cover_lower,printable/plastic,exports/mk0.7.4/printable/plastic/power_bus_cover_lower.stl,ok,80e4135f1b3cb43e53ed8bb68b317520821f7d6251574e1cd3225096b3e84cab,"(10.4, 46.0, 141.75, 18487.0)",,,46.000,10.400,141.750,18487.477,
power_bus_cover_upper,printable/plastic,exports/mk0.7.4/printable/plastic/power_bus_cover_upper.stl,ok,b3c146b90421d1169b788247806807c9e6215ca48bfdac5ccbedc51065c5c4f5,"(14.8, 46.0, 143.75, 20595.0)",,,46.000,14.800,143.750,20595.320,
power_bus_panel_lower,printable/plastic,exports/mk0.7.4/printable/plastic/power_bus_panel_lower.stl,ok,02bee3f2c284ef067a688aac035937ca80e9c835103b072fbc0a0e6731d3f554,"(15.5, 34.0, 146.75, 21601.0)",,,34.000,15.500,146.750,21600.541,
power_bus_panel_upper,printable/plastic,exports/mk0.7.4/printable/plastic/power_bus_panel_upper.stl,ok,715bd0d7a45e054c37448f6efb5fdb96eca17871f06f946f2fa0f31877086d96,"(19.900000000000002, 36.0, 148.75, 23171.0)",,,36.000,19.900,148.750,23171.064,
rail_end_mount,printable/plastic,exports/mk0.7.4/printable/plastic/rail_end_mount.stl,ok,4a48917bf86529c270c47d70a8f56fb81b91a058db0ea5a962f5fc322c781bee,"(12.0, 18.0, 20.0, 3212.0)",,,18.000,12.000,20.000,3212.147,
raspberry_pi_tray,printable/plastic,exports/mk0.7.4/printable/plastic/raspberry_pi_tray.stl,ok,6fb96a18ee694f8cf76273da8e973db821bfd5e81bb6f2a2b5f64fcf8c1a2a14,"(32.0, 172.0, 178.70000000000002, 129953.0)",,,172.000,178.700,32.000,129953.175,
rear_service_spine_cover_lower,printable/plastic,exports/mk0.7.4/printable/plastic/rear_service_spine_cover_lower.stl,ok,564d1274a88abe7b5e4a0dd34f019ddf3da3d808f9df72539fbc2a6a35fcc095,"(6.0, 46.0, 156.75, 21945.0)",,,46.000,6.000,156.750,21945.332,
rear_service_spine_cover_upper,printable/plastic,exports/mk0.7.4/printable/plastic/rear_service_spine_cover_upper.stl,ok,848f241812b5aae287778dc31af0f532ee1094c582dd15f4e86e83934c5a5c14,"(10.4, 46.0, 158.75, 24053.0)",,,46.000,10.400,158.750,24053.187,
rear_service_spine_lower,printable/plastic,exports/mk0.7.4/printable/plastic/rear_service_spine_lower.stl,ok,2ad56555887e6fc083e7d0a11057d33ec0506434e52ae85ee6d1fd0c492cc8b1,"(40.5, 132.0, 157.75, 96052.0)",,,132.000,40.500,157.750,96051.583,
rear_service_spine_upper,printable/plastic,exports/mk0.7.4/printable/plastic/rear_service_spine_upper.stl,ok,96e90c947cc59262e7e26ffd283977408e0935312aaa61b696ba193aa82d7dca,"(44.900000000000006, 136.0, 159.75, 89747.0)",,,136.000,44.900,159.750,89746.623,
rear_stability_wing,printable/plastic,exports/mk0.7.4/printable/plastic/rear_stability_wing.stl,ok,0508d4fcaf71504c1364f932900b3a04c8868b8a22ce9f3d2cd01ff55ec7cba3,"(10.0, 47.0, 250.0, 116957.0)",exact_002,near_003,250.000,47.000,10.000,116957.170,duplicate_group=exact_002; near_duplicate_group=near_003
right_foot_extension,printable/plastic,exports/mk0.7.4/printable/plastic/right_foot_extension.stl,ok,0090d44d55958e14bdf3a95227ccac1d37df3dd1fddf80bc2e4f1ae368fd7938,"(10.0, 42.0, 190.0, 79257.0)",exact_003,near_004,42.000,190.000,10.000,79257.170,duplicate_group=exact_003; near_duplicate_group=near_004
right_side_panel_lower,printable/plastic,exports/mk0.7.4/printable/plastic/right_side_panel_lower.stl,ok,3f32d780568289217226978bb3e2fb8122679ec0b6bfdadf418ee2a597f1373e,"(13.0, 100.9, 176.0, 88794.0)",exact_004,near_005,176.000,13.000,100.900,88794.171,duplicate_group=exact_004; near_duplicate_group=near_005
right_side_panel_middle,printable/plastic,exports/mk0.7.4/printable/plastic/right_side_panel_middle.stl,ok,8997f442c8a50dfc075a751ded5310a12308e0de6b948165ddd2c0a1ebac0806,"(5.2, 100.9, 176.0, 63144.0)",exact_005,near_006,176.000,5.200,100.900,63143.834,duplicate_group=exact_005; near_duplicate_group=near_006
right_side_panel_upper,printable/plastic,exports/mk0.7.4/printable/plastic/right_side_panel_upper.stl,ok,1d09e99665ce96634741419325a08548eb6166cb3936ddba3c44fa7cda86846b,"(13.0, 100.9, 176.0, 93621.0)",exact_006,near_007,176.000,13.000,100.900,93620.808,duplicate_group=exact_006; near_duplicate_group=near_007
side_panel_mount_rail_lower,printable/plastic,exports/mk0.7.4/printable/plastic/side_panel_mount_rail_lower.stl,ok,4f30fc399636c804fc62036959a05b1cf9ca8253abd09cfc614ecdcbd2366e2e,"(8.0, 12.0, 100.9, 9356.0)",exact_007,near_008,8.000,12.000,100.900,9356.040,duplicate_group=exact_007; near_duplicate_group=near_008
side_panel_mount_rail_middle,printable/plastic,exports/mk0.7.4/printable/plastic/side_panel_mount_rail_middle.stl,ok,4f30fc399636c804fc62036959a05b1cf9ca8253abd09cfc614ecdcbd2366e2e,"(8.0, 12.0, 100.9, 9356.0)",exact_007,near_008,8.000,12.000,100.900,9356.040,duplicate_group=exact_007; near_duplicate_group=near_008
side_panel_mount_rail_upper,printable/plastic,exports/mk0.7.4/printable/plastic/side_panel_mount_rail_upper.stl,ok,4f30fc399636c804fc62036959a05b1cf9ca8253abd09cfc614ecdcbd2366e2e,"(8.0, 12.0, 100.9, 9356.0)",exact_007,near_008,8.000,12.000,100.900,9356.040,duplicate_group=exact_007; near_duplicate_group=near_008
ssd_expansion_tray,printable/plastic,exports/mk0.7.4/printable/plastic/ssd_expansion_tray.stl,ok,c780007e4c985663466e1def585c07fcea39fa71cb2dd7a5046a323ec60327a2,"(32.0, 172.0, 178.70000000000002, 131677.0)",,,172.000,178.700,32.000,131677.175,
top_fan_grille,printable/plastic,exports/mk0.7.4/printable/plastic/top_fan_grille.stl,ok,c02772da548d37271881c27ee5589c1a18f792d6c8a1c0c5d057db5c7b330285,"(4.0, 190.0, 190.0, 109041.0)",,,190.000,190.000,4.000,109040.596,
top_structural_frame,printable/plastic,exports/mk0.7.4/printable/plastic/top_structural_frame.stl,ok,8c89da544a9fb78d88a2c281bc8b49f0f036bce76520867d06865618aeaa5922,"(13.0, 190.0, 190.0, 84439.0)",,near_002,190.000,190.000,13.000,84439.392,near_duplicate_group=near_002
tray_support_ledge,printable/plastic,exports/mk0.7.4/printable/plastic/tray_support_ledge.stl,ok,46b5b8975bffaa9bd880de7349e4a26987f3a3273f2920f04b933ff8ff8d8a1c,"(4.0, 14.0, 22.0, 1191.0)",,,22.000,14.000,4.000,1190.597,
ups_power_tray,printable/plastic,exports/mk0.7.4/printable/plastic/ups_power_tray.stl,ok,99e9e353ba601b52052dda43ee482bf9dbc3dc123533b26f73ec4d761178f41a,"(32.0, 178.70000000000002, 186.5, 154378.0)",,,186.500,178.700,32.000,154378.035,
foot,printable/tpu,exports/mk0.7.4/printable/tpu/foot.stl,ok,a13d951ef986039ab62f5d66ad084021dcf522eabc29e3ed2752f3f49da92e38,"(32.0, 34.0, 34.0, 28073.0)",exact_001,near_001,34.000,34.000,32.000,28072.772,duplicate_group=exact_001; near_duplicate_group=near_001
airflow_path_review,review,exports/mk0.7.4/review/airflow_path_review.stl,ok,74fb7eb81437c010f38113b9a879864de9995e6f712da90a295ff458772fe146,"(16.0, 91.0, 329.8, 12089.0)",,,91.000,16.000,329.800,12089.019,
blocked_air_zones_review,review,exports/mk0.7.4/review/blocked_air_zones_review.stl,ok,8a9ca6aa81641ae170a0ecdcee8914ec909973e1baac3e8a49a761d83d17540f,"(103.0, 181.75, 229.0, 107520.0)",,,229.000,103.000,181.750,107520.000,
bottom_intake_open_area_review,review,exports/mk0.7.4/review/bottom_intake_open_area_review.stl,ok,0b93777500e75c814e23383510913419c55dcdc1f7a3fb472b0b5c51fd17e049,"(4.0, 112.0, 112.0, 26308.0)",,,112.000,112.000,4.000,26307.970,
mini_pc_airflow_path_review,review,exports/mk0.7.4/review/mini_pc_airflow_path_review.stl,ok,b624db7ae4346b5cade96fb76cbbf9b3cdbc7cfadf2423b5383c05a0f3f15202,"(16.0, 16.0, 54.800000000000004, 2965.0)",,,16.000,54.800,16.000,2964.583,
power_bus_cover_reference,review,exports/mk0.7.4/review/power_bus_cover_reference.stl,ok,964f87f6bfaf8f561612765d6956937cffe4a65ce35097bd1591a6c8ab482cfe,"(5.0, 46.0, 265.5, 33279.0)",,,46.000,5.000,265.500,33278.843,
power_bus_panel_reference,review,exports/mk0.7.4/review/power_bus_panel_reference.stl,ok,c0450f965b27af491b477e0bdd64a8e19f71b3d1627018a41684a249073b3aa2,"(7.5, 34.0, 275.5, 39317.0)",,,34.000,7.500,275.500,39316.972,
printability_layout_review,review,exports/mk0.7.4/review/printability_layout_review.stl,ok,9516d30dfdaabd9e741768f73074ae2d26d882a023eee7324625f43b5be115cc,"(16.0, 296.0, 298.0, 649460.0)",,,298.000,296.000,16.000,649460.101,
rear_service_spine_cover_reference,review,exports/mk0.7.4/review/rear_service_spine_cover_reference.stl,ok,1f232dd8463b36ecf65ec3d2583dbdd4eda6a01801596ff1f29faca727544f23,"(3.0, 46.0, 295.5, 40210.0)",,,46.000,3.000,295.500,40210.275,
rear_service_spine_reference,review,exports/mk0.7.4/review/rear_service_spine_reference.stl,ok,2119e2024752492e83f1c75891be365c096606715b381de28240d36773fa913e,"(40.0, 80.0, 297.5, 164685.0)",,,80.000,40.000,297.500,164685.196,
stability_review,review,exports/mk0.7.4/review/stability_review.stl,ok,eda034ce020d8876dc6c44f0dbd0b1038fc3d238468e7a863ca3338307eeba15,"(250.0, 288.6, 296.0, 226714.0)",,,250.000,296.000,288.600,226713.981,
